# Working MTProto proxies

31.13.208.182:443 secret=2a0a0be9f8a2c802b3d8606754e5b57f
144.31.167.164:443 secret=db03aa703f64ca9f2b3a31ff908f2deb
connect.x-modz.ru:1337 secret=ddc0c733ec1b86d03859cb13ed09f9f722
193.233.210.222:443 secret=ddaf8b8433ec53435133379366e6024926
tg.caxero.ru:6767 secret=fffc0efade691faeaccb0ee0cdbf1773
108.165.233.137:443 secret=24bd7c651c0cdef3195110f94d4c92ce
178.104.244.158:8080 secret=dd104462821249bd7ac519130220c25d09
172.234.115.238:443 secret=ed9a2a2855155d4ff768a2a0bef9465a
168.222.254.235:443 secret=094873899b09916d9cbf2d97bad72be1
62.60.252.181:8000 secret=dd3041b25c52eb89bf1489661f3322df76
168.222.254.175:443 secret=ec4fb4c5dd112ac95a0aaa51e1bd2745
brookad76-779bd845.proxytg.ink:443 secret=28ed0c814a97362df6fed7339922e795
proxy.freetg.su:443 secret=f7a7d30a3a78dc160b43a8ed332477e1
144.124.248.122:443 secret=93987494e34612b0676a8ca2a9638622
188.137.242.226:443 secret=dd63ddf70c2fa66dfa8a66e5c244d02c13
2.26.125.172:443 secret=667161e1e8616dd33fdf8e43e40784d9
168.222.254.236:443 secret=1e7143ca2186934f892b7ec833ce209b
mtproxy.neverspy.online:443 secret=dde8653d2faf392a302d829d79537abbe7
noble5cfd-0096d46a.proxytg.ink:443 secret=39682ffd39beefcc991d12c832866bca
168.222.254.174:443 secret=968cc5da3ebacdc3f0c99ba9e2d82d07
109.120.185.156:443 secret=dd0cc6909522211ffc42c3c6cdb966e333
45.128.235.217:443 secret=21fd75da7502958780b51907a395968a
compassionate-heyrovsky.cfd:1984 secret=ddc76b8cb6d99f20a7c1a3ef1b67bbb070
87.106.137.212:21212 secret=312b91cf4831abf49809466752b9c364
45.128.235.218:443 secret=78aef637c95a4c9b730f2ec43e8ddd9c
pugoholic.ydns.eu:9443 secret=6a08a96f53b99a7e517a2c5cb46468be
91.107.169.174:8443 secret=dd104462821249bd7ac519130220c25d09
91.107.174.85:8443 secret=dd104462821249bd7ac519130220c25d09
tg.plusonevpn.com:1984 secret=dd4c7671c23268cbcb7330ff7ee9ab0622
45.128.235.219:443 secret=4ae50768d6cdfc8c708fb81c7e582072
2.26.54.168:443 secret=da3d7deef4c3124a17edd8423febf8f4
brookb631-82e07f23.proxytg.ink:443 secret=f6fe059664c24962c99fbcc32553249e
94.237.47.158:443 secret=dd8dd8cc4e02625114d308dac05094c3c0
64.188.65.63:443 secret=21f80d43f4bbd90405cecc8435645867
nettle5e12-8aa8df11.proxytg.ink:443 secret=39682ffd39beefcc991d12c832866bca
knoll0422-c522b2fb.proxytg.ink:443 secret=28ed0c814a97362df6fed7339922e795
fi.tg.blook.red:443 secret=4634d8605673b722d19b11a45e34a1db
194.76.217.255:80 secret=8a48b3ec59a5c6f781604bc60907b228
flint3de6-c07c0599.proxytg.ink:443 secret=a8e84b0bdd918ad1aa18e8380b24690a
free-proxy-03.duckdns.org:443 secret=ddea63ef94c511c297c68017f7d71ce1db
168.222.254.50:443 secret=86a518fe71e9bbb70db48ea77b74ec79
tg.belka.network:443 secret=107cb7c1a3e23228d9e45226a2ac0785
168.222.254.49:443 secret=4a53898470c53c8426164f614167df06
138.124.32.130:443 secret=f36a968b7b96f0e406d535aaccd7c3a7
proxydlyavseh.sbs:443 secret=2cf24dba5fb0a30e26e83b2ac5b9e29e
5.75.218.189:8443 secret=dd104462821249bd7ac519130220c25d09
proxium.rest:443 secret=a665a45920422f9d417e4867efdc4fb8
72.62.150.190:2053 secret=7a16ad3840d31414dcb461b22fe5b200
192.142.45.210:3448 secret=7033deb2225a961eb354136d0aeca1a3
5.39.250.20:443 secret=6356ebb33a57b6deda8a1c3cf2aee557
144.31.215.178:7443 secret=da5418d123ae6ec61a8ba57d0ae7f9ec
91.184.241.215:8443 secret=3d9b3249e8745196bfee5f6005e1ecc8
psql.s1nqq.fun:5432 secret=0e5360aecceecd4c27f7acd6aa79a7d5
prx.today:443 secret=b3f0c7f6af7dc2dc2e9c80d0d80e8162
proxytelega.store:443 secret=5d41402abc4b2a76b9719d911017c592
